depth,fidelity,geometric_reference,intent_separation,intent_range,clause_value
0,1.0,1.0,1.0,1.0000000000000004,0.0
1,0.8,0.8,0.8000000000000002,1.0000000000000004,0.026412505586844937
2,0.6400000000000001,0.6400000000000001,0.6400000000000001,0.9947174988826315,0.07697750782158294
3,0.5120000000000001,0.5120000000000001,0.5120000000000001,0.9793219973183148,0.1340340080450568
4,0.4096000000000002,0.4096000000000001,0.40960000000000013,0.9525151957093035,0.18740800715116163
5,0.3276800000000002,0.3276800000000001,0.38229333333333343,0.9150335942790712,0.23184640572092935
6,0.26214400000000015,0.2621440000000001,0.3495253333333334,0.8686643131348852,0.26523341211906926
7,0.20971520000000016,0.20971520000000007,0.31457280000000015,0.8156176307110714,0.28736798976297656
8,0.16777216000000014,0.1677721600000001,0.2796202666666668,0.7581440327584761,0.29914038389164654
9,0.13421772800000012,0.13421772800000006,0.24606583466666673,0.6983159559801467,0.30198988800000026
10,0.10737418240000011,0.10737418240000006,0.22593317546666677,0.6379179783801466,0.2975586048866833
11,0.08589934592000009,0.08589934592000005,0.20580051626666673,0.5784062574028099,0.28747994332056215
12,0.0687194767360001,0.06871947673600004,0.18611524949333338,0.5209102687386975,0.27325816524291774
13,0.05497558138880008,0.054975581388800036,0.16721739339093336,0.46625863569011383,0.2562081111095049
14,0.04398046511104006,0.043980465111040035,0.14935032943957335,0.41501701346821285,0.23743352037653764
15,0.03518437208883206,0.03518437208883203,0.13267440308497067,0.3675303093929052,0.21782905617781456
16,0.028147497671065648,0.028147497671065624,0.11728124029610663,0.3239644981573422,0.1980959285918693
17,0.02251799813685252,0.022517998136852502,0.10320749146057383,0.2843453124389683,0.17876440319186981
18,0.018014398509482017,0.018014398509482003,0.09044729251635741,0.24859243180059432,0.1602188615271395
19,0.014411518807585615,0.014411518807585602,0.07896311346656261,0.21654865949516622,0.1427227289757813
20,0.011529215046068495,0.011529215046068483,0.06869490631615788,0.1880041137000099,0.12644170984400538
21,0.009223372036854798,0.009223372036854787,0.05956761107135367,0.16271577173120877,0.11146452109400784
22,0.0073786976294838375,0.00737869762948383,0.05149716053910571,0.14042286751240707,0.09782080496072854
23,0.005902958103587071,0.005902958103587064,0.04439516407072754,0.12085870652026132,0.08549620684538439
24,0.004722366482869657,0.004722366482869652,0.038172462403196154,0.10375946515118428,0.07444478570445534
25,0.003777893186295726,0.0037778931862957215,0.032741740947896066,0.08887050801029328,0.06459902068744838
26,0.0030223145490365813,0.0030223145490365774,0.028019374465026396,0.07595070387280345,0.05587771900215821
27,0.002417851639229265,0.002417851639229262,0.023926656846539367,0.06477516007237172,0.048192136165959853
28,0.0019342813113834127,0.0019342813113834097,0.020390548824166566,0.055136732839179636,0.04145060490613384
29,0.0015474250491067302,0.0015474250491067279,0.017344055758737684,0.04684661185795269,0.03556194246518318
30,0.001237940039285384,0.0012379400392853823,0.01472632838399879,0.039734223364915944,0.030437874213633864
31,0.0009903520314283076,0.0009903520314283058,0.012482562062794036,0.033646648522189126,0.025994678291510365
32,0.0007922816251426461,0.0007922816251426448,0.01056375500190169,0.02844771286388692,0.022154223951621588
33,0.0006338253001141169,0.0006338253001141158,0.008926372976606887,0.024016868073562514,0.018844546761572212
34,0.0005070602400912937,0.0005070602400912927,0.007531957316355837,0.02024795872124796,0.01600007752591348
35,0.00040564819207303493,0.00040564819207303417,0.006346704005142437,0.017047943216065176,0.013561618943203735
36,0.000324518553658428,0.00032451855365842736,0.005341034528961346,0.014335619427424118,0.011476144555860213
37,0.00025961484292674243,0.00025961484292674194,0.004489173325608007,0.012040390516252164,0.009696478256381091
38,0.00020769187434139394,0.00020769187434139353,0.0037687421364862718,0.01010109486497579,0.008180899166982947
39,0.00016615349947311518,0.00016615349947311485,0.0031603780212279583,0.008464915031579201,0.006892705761108231
40,0.00013292279957849217,0.00013292279957849188,0.00264737909160472,0.007086373879357399,0.005799764293319298
